timestamp,readingtime,temperature,humidity,pressure,altitude,temperature status,humidity status,pressure status
1638217108921,01:18:28 2021/11/30,21.38,51.42,953.86,506.61,NORMAL,NORMAL,NORMAL
1638217168927,01:19:28 2021/11/30,21.38,51.69,953.85,506.71,NORMAL,NORMAL,NORMAL
1638217228934,01:20:28 2021/11/30,21.38,51.55,953.87,506.55,NORMAL,NORMAL,NORMAL
1638217288941,01:21:28 2021/11/30,21.38,51.57,953.88,506.48,NORMAL,NORMAL,NORMAL
1638217348948,01:22:28 2021/11/30,21.38,51.44,953.9,506.3,NORMAL,NORMAL,NORMAL
1638217408959,01:23:28 2021/11/30,21.38,51.5,953.91,506.22,NORMAL,NORMAL,NORMAL
1638217468962,01:24:28 2021/11/30,21.37,51.5,953.9,506.26,NORMAL,NORMAL,NORMAL
1638217528970,01:25:28 2021/11/30,21.38,51.55,953.92,506.13,NORMAL,NORMAL,NORMAL
1638217588975,01:26:28 2021/11/30,21.37,51.5,953.9,506.28,NORMAL,NORMAL,NORMAL
1638217648982,01:27:28 2021/11/30,21.38,51.51,953.91,506.21,NORMAL,NORMAL,NORMAL
1638217708987,01:28:28 2021/11/30,21.37,51.44,953.9,506.24,NORMAL,NORMAL,NORMAL
1638217768994,01:29:28 2021/11/30,21.37,51.66,953.93,506.03,NORMAL,NORMAL,NORMAL
1638217829006,01:30:29 2021/11/30,21.37,51.56,953.88,506.44,NORMAL,NORMAL,NORMAL
1638217889008,01:31:29 2021/11/30,21.37,51.67,953.91,506.22,NORMAL,NORMAL,NORMAL
1638217949015,01:32:29 2021/11/30,21.37,51.42,953.95,505.84,NORMAL,NORMAL,NORMAL
1638218009022,01:33:29 2021/11/30,21.36,51.52,953.96,505.74,NORMAL,NORMAL,NORMAL
1638218069031,01:34:29 2021/11/30,21.35,51.4,953.92,506.12,NORMAL,NORMAL,NORMAL
1638218129035,01:35:29 2021/11/30,21.36,51.52,953.96,505.76,NORMAL,NORMAL,NORMAL
1638218189042,01:36:29 2021/11/30,21.35,51.6,953.95,505.86,NORMAL,NORMAL,NORMAL
1638218249065,01:37:29 2021/11/30,21.36,51.75,953.96,505.79,NORMAL,NORMAL,NORMAL
1638218309055,01:38:29 2021/11/30,21.36,51.45,953.99,505.51,NORMAL,NORMAL,NORMAL
1638218369079,01:39:29 2021/11/30,21.35,51.59,953.97,505.67,NORMAL,NORMAL,NORMAL
1638218429067,01:40:29 2021/11/30,21.36,51.73,953.99,505.53,NORMAL,NORMAL,NORMAL
1638218489075,01:41:29 2021/11/30,21.36,51.53,953.99,505.45,NORMAL,NORMAL,NORMAL
1638218549080,01:42:29 2021/11/30,21.36,51.43,954,505.38,NORMAL,NORMAL,NORMAL
1638218609087,01:43:29 2021/11/30,21.34,51.63,953.96,505.79,NORMAL,NORMAL,NORMAL
1638218669096,01:44:29 2021/11/30,21.34,51.67,953.98,505.6,NORMAL,NORMAL,NORMAL
1638218729102,01:45:29 2021/11/30,21.35,51.62,954.03,505.16,NORMAL,NORMAL,NORMAL
1638218789108,01:46:29 2021/11/30,21.35,51.5,953.98,505.57,NORMAL,NORMAL,NORMAL
1638218849111,01:47:29 2021/11/30,21.35,51.68,953.97,505.69,NORMAL,NORMAL,NORMAL
1638218909122,01:48:29 2021/11/30,21.35,51.5,954,505.43,NORMAL,NORMAL,NORMAL
1638218969125,01:49:29 2021/11/30,21.35,51.47,953.98,505.55,NORMAL,NORMAL,NORMAL
1638219029131,01:50:29 2021/11/30,21.35,51.58,953.99,505.48,NORMAL,NORMAL,NORMAL
1638219089138,01:51:29 2021/11/30,21.34,51.64,953.98,505.62,NORMAL,NORMAL,NORMAL
1638219149144,01:52:29 2021/11/30,21.34,51.48,953.98,505.58,NORMAL,NORMAL,NORMAL
